Rank	Filename	Anomaly_Score
223	tile_00405_cell9.png	4.699560
224	tile_00780_cell6.png	4.699670
225	tile_00670_cell9.png	4.700430
226	tile_00968_cell5.png	4.700908
227	tile_00815_cell17.png	4.701520
228	tile_00480_cell16.png	4.702464
229	tile_00952_cell38.png	4.703050
230	tile_00376_cell37.png	4.703769
231	tile_00225_cell72.png	4.703863
232	tile_00838_cell28.png	4.704243
233	tile_00651_cell32.png	4.704542
234	tile_00887_cell7.png	4.705038
235	tile_00848_cell21.png	4.705101
236	tile_00239_cell20.png	4.705487
237	tile_00829_cell30.png	4.706511
238	tile_00851_cell32.png	4.706559
239	tile_00814_cell14.png	4.707107
240	tile_00507_cell54.png	4.707211
241	tile_00096_cell39.png	4.707263
242	tile_00094_cell61.png	4.707308
243	tile_00003_cell25.png	4.707442
244	tile_00979_cell3.png	4.707870
245	tile_00535_cell19.png	4.707905
246	tile_00099_cell13.png	4.708798
247	tile_00685_cell38.png	4.708814
248	tile_00382_cell39.png	4.709378
249	tile_00806_cell48.png	4.709999
250	tile_00237_cell0.png	4.710470
251	tile_00434_cell4.png	4.711052
252	tile_00386_cell39.png	4.712654
253	tile_00520_cell37.png	4.713097
254	tile_00382_cell23.png	4.714726
255	tile_00958_cell98.png	4.714918
256	tile_00348_cell27.png	4.715180
257	tile_00411_cell12.png	4.715544
258	tile_00947_cell1.png	4.716435
259	tile_00866_cell17.png	4.716524
260	tile_00063_cell7.png	4.716788
261	tile_00884_cell49.png	4.716860
262	tile_00937_cell7.png	4.717395
263	tile_00750_cell16.png	4.717466
264	tile_00703_cell54.png	4.717490
265	tile_00240_cell25.png	4.717654
266	tile_00283_cell36.png	4.718243
267	tile_00681_cell34.png	4.718457
268	tile_00708_cell15.png	4.719517
269	tile_00192_cell19.png	4.719879
270	tile_00004_cell13.png	4.721133
271	tile_00948_cell10.png	4.721225
272	tile_00498_cell49.png	4.721772
273	tile_00215_cell79.png	4.722682
274	tile_00216_cell21.png	4.723338
275	tile_00199_cell31.png	4.723742
276	tile_00780_cell21.png	4.723848
277	tile_00103_cell78.png	4.725391
278	tile_00606_cell50.png	4.726467
279	tile_00509_cell8.png	4.726989
280	tile_00605_cell3.png	4.727002
281	tile_00379_cell21.png	4.727576
282	tile_00334_cell46.png	4.727622
283	tile_00212_cell89.png	4.727799
284	tile_00120_cell11.png	4.727831
285	tile_00244_cell9.png	4.728020
286	tile_00130_cell11.png	4.728068
287	tile_00968_cell9.png	4.728926
288	tile_00506_cell12.png	4.730045
289	tile_00678_cell9.png	4.730167
290	tile_00421_cell0.png	4.730967
291	tile_00226_cell15.png	4.731888
292	tile_00143_cell8.png	4.732668
293	tile_00735_cell29.png	4.733266
294	tile_00712_cell10.png	4.733399
295	tile_00088_cell50.png	4.733557
296	tile_00835_cell2.png	4.735546
297	tile_00019_cell36.png	4.736521
298	tile_00184_cell51.png	4.737308
299	tile_00937_cell60.png	4.737320
300	tile_00632_cell91.png	4.739285
301	tile_00602_cell29.png	4.739583
302	tile_00721_cell16.png	4.740593
303	tile_00808_cell16.png	4.741128
304	tile_00553_cell76.png	4.742002
305	tile_00634_cell105.png	4.743367
306	tile_00934_cell103.png	4.743585
307	tile_00522_cell82.png	4.744452
308	tile_00694_cell19.png	4.744531
309	tile_00398_cell25.png	4.745280
310	tile_00102_cell76.png	4.747055
311	tile_00723_cell24.png	4.747361
312	tile_00028_cell53.png	4.747540
313	tile_00735_cell1.png	4.747699
314	tile_00088_cell14.png	4.748054
315	tile_00544_cell5.png	4.748103
316	tile_00355_cell10.png	4.748240
317	tile_00535_cell55.png	4.748560
318	tile_00974_cell12.png	4.749737
319	tile_00541_cell3.png	4.750272
320	tile_00984_cell2.png	4.751964
321	tile_00426_cell12.png	4.752347
322	tile_00714_cell35.png	4.752740
323	tile_00691_cell45.png	4.752862
324	tile_00217_cell16.png	4.753746
325	tile_00106_cell18.png	4.754350
326	tile_00411_cell82.png	4.754756
327	tile_00225_cell34.png	4.755406
328	tile_00672_cell0.png	4.755470
329	tile_00552_cell28.png	4.756320
330	tile_00944_cell29.png	4.757081
331	tile_00835_cell9.png	4.758022
332	tile_00547_cell21.png	4.758078
333	tile_00362_cell8.png	4.758198
334	tile_00181_cell17.png	4.759332
335	tile_00069_cell22.png	4.760034
336	tile_00678_cell12.png	4.760295
337	tile_00001_cell64.png	4.760543
338	tile_00120_cell51.png	4.762941
339	tile_00219_cell91.png	4.763090
340	tile_00975_cell9.png	4.763220
341	tile_00196_cell24.png	4.764479
342	tile_00994_cell10.png	4.764770
343	tile_00063_cell14.png	4.765303
344	tile_00685_cell19.png	4.765641
345	tile_00496_cell19.png	4.766720
346	tile_00882_cell7.png	4.767210
347	tile_00709_cell45.png	4.768108
348	tile_00366_cell8.png	4.771495
349	tile_00704_cell56.png	4.772297
350	tile_00102_cell31.png	4.772353
351	tile_00958_cell83.png	4.774981
352	tile_00529_cell30.png	4.775108
353	tile_00204_cell9.png	4.775566
354	tile_00661_cell36.png	4.777764
355	tile_00968_cell13.png	4.778977
356	tile_00215_cell77.png	4.779190
357	tile_00735_cell10.png	4.779537
358	tile_00958_cell80.png	4.779661
359	tile_00221_cell44.png	4.780097
360	tile_00090_cell60.png	4.781813
361	tile_00797_cell51.png	4.783102
362	tile_00688_cell24.png	4.784634
363	tile_00385_cell107.png	4.785660
364	tile_00934_cell105.png	4.788002
365	tile_00234_cell3.png	4.788074
366	tile_00416_cell93.png	4.788393
367	tile_00958_cell57.png	4.788619
368	tile_00697_cell7.png	4.789761
369	tile_00695_cell27.png	4.791850
370	tile_00676_cell0.png	4.792516
371	tile_00694_cell23.png	4.793379
372	tile_00707_cell29.png	4.794148
373	tile_00711_cell64.png	4.794167
374	tile_00401_cell22.png	4.795622
375	tile_00529_cell22.png	4.795854
376	tile_00613_cell8.png	4.795936
377	tile_00107_cell59.png	4.796360
378	tile_00300_cell44.png	4.796659
379	tile_00885_cell45.png	4.797389
380	tile_00846_cell5.png	4.798750
381	tile_00075_cell81.png	4.799578
382	tile_00117_cell54.png	4.801237
383	tile_00476_cell6.png	4.803583
384	tile_00685_cell32.png	4.804644
385	tile_00403_cell33.png	4.805162
386	tile_00937_cell19.png	4.805915
387	tile_00544_cell6.png	4.806085
388	tile_00075_cell91.png	4.806749
389	tile_00953_cell73.png	4.807371
390	tile_00195_cell24.png	4.808241
391	tile_00440_cell10.png	4.808694
392	tile_00221_cell14.png	4.808862
393	tile_00244_cell6.png	4.809585
394	tile_00028_cell35.png	4.810228
395	tile_00689_cell16.png	4.811470
396	tile_00818_cell19.png	4.811561
397	tile_00937_cell72.png	4.813689
398	tile_00724_cell39.png	4.814232
399	tile_00885_cell48.png	4.814528
400	tile_00548_cell5.png	4.815716
401	tile_00096_cell42.png	4.817275
402	tile_00505_cell6.png	4.817283
403	tile_00366_cell6.png	4.818138
404	tile_00117_cell69.png	4.819610
405	tile_00117_cell30.png	4.821114
406	tile_00238_cell6.png	4.821530
407	tile_00934_cell109.png	4.822009
408	tile_00381_cell22.png	4.822790
409	tile_00533_cell32.png	4.825137
410	tile_00382_cell33.png	4.825873
411	tile_00205_cell39.png	4.826277
412	tile_00197_cell28.png	4.827383
413	tile_00866_cell82.png	4.829605
414	tile_00682_cell33.png	4.830561
415	tile_00353_cell63.png	4.830874
416	tile_00221_cell19.png	4.831170
417	tile_00107_cell36.png	4.831857
418	tile_00722_cell14.png	4.832112
419	tile_00907_cell13.png	4.833043
420	tile_00203_cell26.png	4.833827
421	tile_00512_cell23.png	4.834448
422	tile_00118_cell0.png	4.835685
423	tile_00508_cell50.png	4.835999
424	tile_00952_cell53.png	4.836064
425	tile_00529_cell17.png	4.836381
426	tile_00927_cell22.png	4.836639
427	tile_00846_cell12.png	4.838533
428	tile_00083_cell5.png	4.839508
429	tile_00699_cell85.png	4.839929
430	tile_00485_cell9.png	4.841967
431	tile_00888_cell45.png	4.843217
432	tile_00355_cell78.png	4.844188
433	tile_00075_cell2.png	4.844819
434	tile_00484_cell11.png	4.846321
435	tile_00808_cell32.png	4.847090
436	tile_00882_cell72.png	4.852241
437	tile_00215_cell51.png	4.853171
438	tile_00001_cell65.png	4.854616
439	tile_00634_cell135.png	4.858752
440	tile_00019_cell19.png	4.859961
441	tile_00023_cell25.png	4.860505
442	tile_00952_cell55.png	4.861212
443	tile_00184_cell57.png	4.862885
444	tile_00100_cell52.png	4.863372
445	tile_00966_cell8.png	4.866901
446	tile_00558_cell7.png	4.868049
447	tile_00557_cell9.png	4.869020
448	tile_00386_cell95.png	4.873605
449	tile_00496_cell15.png	4.873679
450	tile_00206_cell12.png	4.875661
451	tile_00736_cell26.png	4.882317
452	tile_00410_cell9.png	4.893335
453	tile_00884_cell37.png	4.899415
454	tile_00375_cell48.png	4.900923
455	tile_00302_cell132.png	4.903043
456	tile_00980_cell10.png	4.904366
457	tile_00952_cell23.png	4.904849
458	tile_00186_cell5.png	4.905276
459	tile_00302_cell88.png	4.905915
460	tile_00503_cell77.png	4.908964
461	tile_00235_cell7.png	4.910248
462	tile_00355_cell51.png	4.910552
463	tile_00522_cell77.png	4.910658
464	tile_00336_cell1.png	4.917064
465	tile_00963_cell11.png	4.917099
466	tile_00382_cell25.png	4.918670
467	tile_00410_cell6.png	4.922145
468	tile_00988_cell12.png	4.923496
469	tile_00188_cell23.png	4.925381
470	tile_00207_cell11.png	4.926225
471	tile_00418_cell10.png	4.927665
472	tile_00170_cell16.png	4.928118
473	tile_00705_cell57.png	4.939825
474	tile_00246_cell10.png	4.942807
475	tile_00404_cell14.png	4.943273
476	tile_00355_cell52.png	4.943936
477	tile_00205_cell53.png	4.945485
478	tile_00661_cell10.png	4.950025
479	tile_00661_cell35.png	4.954882
480	tile_00719_cell32.png	4.959686
481	tile_00604_cell34.png	4.965699
482	tile_00115_cell16.png	4.966608
483	tile_00846_cell20.png	4.968665
484	tile_00408_cell54.png	4.970233
485	tile_00681_cell15.png	4.970845
486	tile_00185_cell11.png	4.970994
487	tile_00507_cell16.png	4.972601
488	tile_00346_cell2.png	4.987606
489	tile_00355_cell48.png	4.999427
490	tile_00716_cell19.png	5.003946
491	tile_00235_cell31.png	5.013944
492	tile_00403_cell55.png	5.017030
493	tile_00634_cell131.png	5.019240
494	tile_00710_cell63.png	5.061919
495	tile_00122_cell8.png	5.085752
496	tile_00097_cell69.png	5.128426
497	tile_00097_cell56.png	5.131862
498	tile_00916_cell87.png	5.135029
499	tile_00495_cell10.png	5.149072
500	tile_00087_cell13.png	5.193389
